Gender,Weight,Body Shape Index,Waist,Hips,Bust/Chest,Height,Cup Size
Female,72,3,55.88,72.92,118.47,178.47,B
Female,70,0,75.6,72.82,84.83,156.96,C
Female,52,1,59.73,113.98,88.25,168.63,B
Female,63,4,100.06,91.69,103.38,175.88,F
Female,101,1,80.6,119.28,76.4,188.3,B
Female,56,1,102.8,95.25,106.47,168.68,DD
Female,71,0,57.32,103.63,110.01,166.28,DD
Female,69,2,67.54,89.06,113.46,180.74,AA
Female,51,4,92.9,63.8,107.44,193.47,A
Female,51,1,86.84,127.0,121.34,176.79,A
Female,59,1,90.32,103.16,116.78,155.27,E
Female,70,1,55.88,69.91,121.92,157.35,DD
Female,69,3,63.77,85.74,120.66,150.11,F
Female,63,0,78.86,70.61,104.13,161.87,A
Female,66,2,59.63,57.96,121.43,198.12,A
Female,52,1,101.99,106.7,112.15,168.15,AA
Female,70,4,90.77,113.91,107.84,180.58,C
Female,80,3,71.51,83.37,119.86,152.4,AA
Female,66,4,61.35,96.49,116.07,179.27,AA
Female,98,0,65.6,85.75,75.94,172.19,B
Female,71,1,62.85,101.0,92.47,150.63,DD
Female,53,4,55.88,68.28,101.45,150.68,D
Female,80,4,94.55,101.45,88.96,174.79,DD
Female,50,1,58.71,68.54,117.19,168.36,A
Female,76,4,70.42,77.64,119.34,181.88,AA
Female,73,4,95.67,100.24,91.2,191.21,C
Female,112,3,102.33,113.33,119.31,176.1,E
Female,68,1,96.56,98.91,75.69,178.35,A
Female,96,1,61.37,83.93,83.59,158.19,A
Female,62,1,106.53,120.89,121.92,179.5,C
Female,78,1,78.76,94.66,81.92,164.8,DD
Female,49,1,60.56,84.97,85.49,192.89,F
Female,58,2,61.24,85.94,88.92,185.01,A
Female,46,1,81.74,94.0,119.76,173.3,C
Female,68,4,58.79,101.29,102.13,169.54,C
Female,63,4,74.66,105.32,106.44,176.4,DD
Female,54,1,60.52,91.72,111.94,149.69,AA
Female,72,0,64.4,83.53,109.81,181.84,A
Female,60,4,55.88,98.38,83.61,182.78,F
Female,52,1,82.96,74.38,119.62,165.08,F
Female,69,3,59.31,96.38,113.49,148.05,C
Female,72,0,64.1,86.8,76.52,149.55,F
Female,72,0,59.96,114.86,119.63,149.16,C
Female,60,1,65.94,63.37,110.21,172.29,DD
Female,57,1,88.1,107.2,103.3,154.57,DD
Female,67,4,63.16,82.73,118.51,164.07,AA
Female,70,1,99.28,84.2,121.92,184.87,DD
Female,72,4,78.55,85.61,112.5,189.12,B
Female,60,3,58.75,112.4,84.39,175.78,F
Female,51,1,97.49,79.29,81.96,166.15,A
Female,63,1,81.13,103.81,121.92,159.04,B
Female,55,4,71.63,68.72,117.63,152.58,D
Female,41,0,73.73,75.21,101.59,185.28,C
Female,56,4,105.55,114.75,110.42,155.26,A
Female,66,1,97.86,70.77,121.92,189.28,F
Female,76,3,66.27,111.95,112.9,153.5,C
Female,60,4,83.1,85.09,115.66,167.56,A
Female,82,2,57.93,112.56,111.26,160.95,A
Female,50,4,76.48,101.5,83.93,181.3,B
Female,60,1,65.89,121.05,96.96,169.06,E
Female,62,0,55.88,104.54,92.25,163.93,AA
Female,71,0,96.83,75.53,109.94,186.06,A
Female,76,1,91.69,78.37,91.17,151.14,DD
Female,59,1,60.24,111.62,121.92,168.14,D
Female,74,4,90.0,90.08,121.92,160.47,C
Female,52,4,63.62,71.29,118.23,166.42,F
Female,55,3,103.28,115.8,121.92,149.86,C
Female,67,4,62.9,101.5,113.92,149.65,A
Female,57,3,56.99,87.79,92.81,183.05,AA
Female,75,1,60.8,86.53,87.18,156.24,DD
Female,72,1,55.88,55.98,118.7,181.39,F
Female,64,2,70.61,91.19,95.96,185.1,F
Female,51,4,87.99,74.1,98.48,191.08,AA
Female,45,3,61.83,92.55,108.96,147.32,A
Female,61,4,74.07,77.82,77.0,187.2,F
Female,81,4,72.36,92.52,83.43,164.16,E
Female,69,4,64.24,77.89,94.72,177.08,AA
Female,82,4,73.62,96.08,116.39,171.47,DD
Female,74,4,62.39,95.94,118.7,181.38,AA
Female,68,4,87.36,77.09,105.49,183.36,A
Female,52,2,61.55,106.57,74.26,164.55,E
Female,73,4,67.67,92.97,110.51,152.75,DD
Female,55,0,58.95,91.35,115.15,161.97,D
Female,91,4,63.71,108.94,110.36,152.43,B
Female,70,1,62.92,101.41,94.33,170.83,D
Female,74,4,72.96,99.37,93.92,154.3,AA
Female,76,4,102.81,95.54,109.59,163.02,B
Female,88,0,64.65,84.29,112.63,170.36,A
Female,56,1,56.03,104.33,115.65,154.0,A
Female,62,1,59.94,112.62,86.76,161.85,F
Female,66,0,58.46,102.27,82.46,172.64,D
Female,72,1,72.85,76.72,106.34,192.37,AA
Female,62,4,55.88,79.72,116.25,191.87,F
Female,101,1,100.82,123.74,118.39,174.98,C
Female,62,3,65.69,113.36,109.91,155.87,E
Female,78,3,95.14,93.46,106.46,158.24,E
Female,54,3,80.83,95.34,101.91,173.37,B
Female,90,1,91.65,55.88,104.28,158.75,B
Female,54,4,55.88,94.8,116.27,176.62,B
Female,63,4,99.18,93.78,117.06,176.31,F
Female,45,1,80.35,115.73,94.19,163.68,AA
Female,62,2,67.53,73.22,120.29,198.12,DD
Female,74,4,91.09,86.55,81.32,161.31,A
Female,78,1,73.01,97.04,92.44,161.98,DD
Female,89,1,83.15,127.0,77.78,149.63,DD
Female,63,3,62.22,79.52,120.44,147.4,A
Female,67,1,55.88,113.54,93.64,147.32,F
Female,44,4,59.36,74.78,106.83,178.88,A
Female,64,1,67.42,77.84,121.09,175.54,D
Female,76,2,96.3,89.87,105.32,179.15,E
Female,81,3,61.13,102.0,85.11,178.97,F
Female,74,1,62.22,79.35,116.97,161.49,AA
Female,107,3,66.39,70.94,116.93,195.53,B
Female,87,3,91.17,89.22,102.57,176.03,E
Female,58,1,57.67,90.67,78.15,153.16,E
Female,66,4,91.66,111.78,113.76,155.91,A
Female,69,4,55.88,87.83,108.27,166.02,F
Female,101,3,94.05,79.04,121.92,153.52,AA
Female,44,1,75.91,118.14,114.89,159.42,A
Female,72,1,95.58,107.48,113.69,147.32,A
Female,49,1,93.41,99.38,109.84,153.1,A
Female,61,3,70.58,69.82,94.71,150.57,DD
Female,86,2,69.79,93.35,104.14,150.72,DD
Female,98,4,74.36,107.35,90.25,187.66,B
Female,62,4,101.09,79.99,106.8,188.35,A
Female,50,2,85.02,98.02,120.48,190.55,AA
Female,66,4,70.64,66.57,119.05,161.34,A
Female,96,3,61.97,66.52,115.84,182.68,AA
Female,55,1,57.53,58.72,108.05,174.6,C
Female,69,1,55.88,76.77,92.2,152.29,B
Female,79,4,65.29,87.45,84.03,168.4,D
Female,85,1,57.46,114.51,100.94,149.12,A
Female,52,3,58.15,80.23,97.94,164.56,F
Female,72,1,66.57,109.97,110.66,184.91,B
Female,76,4,58.15,68.94,121.92,147.32,B
Female,82,4,70.31,108.02,98.43,158.7,A
Female,79,0,64.87,84.84,111.34,173.8,E
Female,81,2,68.17,75.13,94.92,175.03,AA
Female,90,0,89.09,72.63,115.43,154.37,C
Female,69,3,74.62,84.22,106.54,169.72,AA
Female,82,4,60.65,55.88,114.64,156.33,D
Female,76,4,65.51,95.28,94.67,147.32,B
Female,47,1,80.05,109.79,109.98,155.37,DD
