Gender,Weight,Body Shape Index,Waist,Hips,Bust/Chest,Height,Cup Size,BMI
0,72,3,55.88,72.92,118.47,178.47,2,22.604871841537815
0,70,0,75.6,72.82,84.83,156.96,3,28.413194217138887
0,52,1,59.73,113.98,88.25,168.63,2,18.286629404916262
0,63,4,100.06,91.69,103.38,175.88,7,20.366088918008014
0,101,1,80.6,119.28,76.4,188.3,2,28.485295805695312
0,56,1,102.8,95.25,106.47,168.68,5,19.68161999301696
0,71,0,57.32,103.63,110.01,166.28,5,25.679012402832786
0,69,2,67.54,89.06,113.46,180.74,1,21.12226732809281
0,51,4,92.9,63.8,107.44,193.47,0,13.625200844477124
0,51,1,86.84,127.0,121.34,176.79,0,16.3175437005657
0,59,1,90.32,103.16,116.78,155.27,6,24.47241933246631
0,70,1,55.88,69.91,121.92,157.35,5,28.272521663567293
0,69,3,63.77,85.74,120.66,150.11,7,30.621738316112644
0,63,0,78.86,70.61,104.13,161.87,0,24.0440607183673
0,66,2,59.63,57.96,121.43,198.12,0,16.814629290008085
0,52,1,101.99,106.7,112.15,168.15,1,18.39118022658111
0,70,4,90.77,113.91,107.84,180.58,3,21.466376521397237
0,80,3,71.51,83.37,119.86,152.4,1,34.44451333347111
0,66,4,61.35,96.49,116.07,179.27,1,20.536607297523464
0,98,0,65.6,85.75,75.94,172.19,2,33.052949769860575
0,71,1,62.85,101.0,92.47,150.63,5,31.292149506186302
0,53,4,55.88,68.28,101.45,150.68,4,23.343428734960924
0,80,4,94.55,101.45,88.96,174.79,5,26.185255886952042
0,50,1,58.71,68.54,117.19,168.36,0,17.63973961825119
0,76,4,70.42,77.64,119.34,181.88,1,22.97437476931914
0,73,4,95.67,100.24,91.2,191.21,3,19.96648688085158
0,112,3,102.33,113.33,119.31,176.1,6,36.11597225648403
0,68,1,96.56,98.91,75.69,178.35,0,21.377784033923405
0,96,1,61.37,83.93,83.59,158.19,0,38.36305469035877
0,62,1,106.53,120.89,121.92,179.5,3,19.242557087545876
0,78,1,78.76,94.66,81.92,164.8,5,28.719719106419074
0,49,1,60.56,84.97,85.49,192.89,7,13.16972340471183
0,58,2,61.24,85.94,88.92,185.01,0,16.944844481546646
0,46,1,81.74,94.0,119.76,173.3,3,15.316541298556347
0,68,4,58.79,101.29,102.13,169.54,3,23.657266108716076
0,63,4,74.66,105.32,106.44,176.4,5,20.24619371558147
0,54,1,60.52,91.72,111.94,149.69,1,24.099508369582978
0,72,0,64.4,83.53,109.81,181.84,0,21.774773740745477
0,60,4,55.88,98.38,83.61,182.78,7,17.95948605745831
0,52,1,82.96,74.38,119.62,165.08,7,19.081583987533207
0,69,3,59.31,96.38,113.49,148.05,3,31.47982194738968
0,72,0,64.1,86.8,76.52,149.55,7,32.19286746900681
0,72,0,59.96,114.86,119.63,149.16,3,32.36143319726429
0,60,1,65.94,63.37,110.21,172.29,5,20.213015469920222
0,57,1,88.1,107.2,103.3,154.57,5,23.857473045167737
0,67,4,63.16,82.73,118.51,164.07,1,24.889515718340274
0,70,1,99.28,84.2,121.92,184.87,5,20.481660240102
0,72,4,78.55,85.61,112.5,189.12,2,20.13063980004638
0,60,3,58.75,112.4,84.39,175.78,7,19.418350245184506
0,51,1,97.49,79.29,81.96,166.15,0,18.474363515160615
0,63,1,81.13,103.81,121.92,159.04,2,24.907366735625022
0,55,4,71.63,68.72,117.63,152.58,4,23.624763432357515
0,41,0,73.73,75.21,101.59,185.28,3,11.94336686145191
0,56,4,105.55,114.75,110.42,155.26,0,23.231051273601732
0,66,1,97.86,70.77,121.92,189.28,7,18.42190256586511
0,76,3,66.27,111.95,112.9,153.5,3,32.25498413776274
0,60,4,83.1,85.09,115.66,167.56,0,21.370296461859635
0,82,2,57.93,112.56,111.26,160.95,0,31.654239964809754
0,50,4,76.48,101.5,83.93,181.3,2,15.21158246396604
0,60,1,65.89,121.05,96.96,169.06,6,20.99275905159137
0,62,0,55.88,104.54,92.25,163.93,1,23.071445841256345
0,71,0,96.83,75.53,109.94,186.06,0,20.509369783579004
0,76,1,91.69,78.37,91.17,151.14,5,33.27014981671037
0,59,1,60.24,111.62,121.92,168.14,4,20.869398188386263
0,74,4,90.0,90.08,121.92,160.47,3,28.73717114914305
0,52,4,63.62,71.29,118.23,166.42,7,18.775534456059265
0,55,3,103.28,115.8,121.92,149.86,3,24.490138035145353
0,67,4,62.9,101.5,113.92,149.65,0,29.917228628689116
0,57,3,56.99,87.79,92.81,183.05,1,17.011217181687485
0,75,1,60.8,86.53,87.18,156.24,5,30.723932537519573
0,72,1,55.88,55.98,118.7,181.39,7,21.882947318497223
0,64,2,70.61,91.19,95.96,185.1,7,18.679581262161793
0,51,4,87.99,74.1,98.48,191.08,1,13.968176396836263
0,45,3,61.83,92.55,108.96,147.32,0,20.734286415065107
0,61,4,74.07,77.82,77.0,187.2,7,17.406768208050263
0,81,4,72.36,92.52,83.43,164.16,6,30.057325330871038
0,69,4,64.24,77.89,94.72,177.08,1,22.004427010078253
0,82,4,73.62,96.08,116.39,171.47,5,27.889296322409574
0,74,4,62.39,95.94,118.7,181.38,1,22.493287000080162
0,68,4,87.36,77.09,105.49,183.36,0,20.225520742913357
0,52,2,61.55,106.57,74.26,164.55,6,19.204701901939497
0,73,4,67.67,92.97,110.51,152.75,5,31.286747865777706
0,55,0,58.95,91.35,115.15,161.97,4,20.964935234798073
0,91,4,63.71,108.94,110.36,152.43,2,39.16521302396206
0,70,1,62.92,101.41,94.33,170.83,4,23.986658839659974
0,74,4,72.96,99.37,93.92,154.3,1,31.08134955219755
0,76,4,102.81,95.54,109.59,163.02,2,28.59774666914895
0,88,0,64.65,84.29,112.63,170.36,0,30.32127151314887
0,56,1,56.03,104.33,115.65,154.0,0,23.61275088547816
0,62,1,59.94,112.62,86.76,161.85,7,23.668257307168837
0,66,0,58.46,102.27,82.46,172.64,4,22.144255356064598
0,72,1,72.85,76.72,106.34,192.37,1,19.456190346222613
0,62,4,55.88,79.72,116.25,191.87,7,16.841374696332696
0,101,1,100.82,123.74,118.39,174.98,3,32.98713132161303
0,62,3,65.69,113.36,109.91,155.87,6,25.51917432760855
0,78,3,95.14,93.46,106.46,158.24,6,31.150287132164628
0,54,3,80.83,95.34,101.91,173.37,2,17.965771073976725
0,90,1,91.65,55.88,104.28,158.75,2,35.71207142414285
0,54,4,55.88,94.8,116.27,176.62,2,17.310674848195962
0,63,4,99.18,93.78,117.06,176.31,7,20.266868918437403
0,45,1,80.35,115.73,94.19,163.68,1,16.79659617650347
0,62,2,67.53,73.22,120.29,198.12,5,15.795560848189414
0,74,4,91.09,86.55,81.32,161.31,0,28.43866054354635
0,78,1,73.01,97.04,92.44,161.98,5,29.728419001057738
0,89,1,83.15,127.0,77.78,149.63,5,39.75142069902659
0,63,3,62.22,79.52,120.44,147.4,0,28.996500168455857
